"ds","y"
"2017-11-14","17"
"2017-11-16","21"
"2017-11-17","18"
"2017-11-18","19"
"2017-11-20","25"
"2017-11-21","26"
"2017-11-23","32"
"2017-11-24","21"
"2017-11-25","29"
"2017-11-27","15"
"2017-11-28","13"
"2017-11-30","14"
"2017-12-01","6"
"2017-12-02","17"
"2017-12-04","17"
"2017-12-05","7"
"2017-12-07","0"
"2017-12-08","22"
"2017-12-09","8"
"2017-12-11","15"
"2017-12-12","12"
"2017-12-14","12"
"2017-12-15","7"
"2017-12-16","22"
"2017-12-18","13"
"2017-12-19","20"
"2017-12-21","19"
"2017-12-22","14"
"2017-12-23","35"
"2017-12-26","30"
"2017-12-28","25"
"2017-12-29","43"
"2017-12-30","24"
"2018-01-02","27"
"2018-01-04","29"
"2018-01-05","17"
"2018-01-06","24"
"2018-01-08","9"
"2018-01-09","10"
"2018-01-11","0"
"2018-01-12","2"
"2018-01-13","13"
"2018-01-15","15"
"2018-01-16","0"
"2018-01-18","4"
"2018-01-19","0"
"2018-01-20","15"
"2018-01-22","9"
"2018-01-23","6"
"2018-01-25","7"
"2018-01-26","2"
"2018-01-27","12"
"2018-01-29","17"
"2018-01-30","11"
"2018-02-01","10"
"2018-02-02","0"
"2018-02-03","18"
"2018-02-05","19"
"2018-02-06","8"
"2018-02-08","8"
"2018-02-09","12"
"2018-02-10","11"
"2018-02-12","16"
"2018-02-13","35"
"2018-02-15","16"
"2018-02-16","5"
"2018-02-17","15"
"2018-02-19","24"
"2018-02-20","19"
"2018-02-22","29"
"2018-02-23","10"
"2018-02-24","15"
"2018-02-26","11"
"2018-02-27","6"
"2018-03-01","16"
"2018-03-02","8"
"2018-03-03","11"
"2018-03-04","0"
"2018-03-05","11"
"2018-03-06","14"
"2018-03-07","13"
"2018-03-08","20"
"2018-03-09","14"
"2018-03-10","23"
"2018-03-11","25"
"2018-03-12","18"
"2018-03-13","20"
"2018-03-14","18"
"2018-03-15","26"
"2018-03-16","25"
"2018-03-17","30"
"2018-03-18","33"
"2018-03-20","25"
"2018-03-21","15"
"2018-03-22","25"
"2018-03-23","25"
"2018-03-24","36"
"2018-03-25","36"
"2018-03-26","22"
"2018-03-27","25"
"2018-03-28","35"
"2018-03-29","75"
"2018-03-30","0"
"2018-03-31","125"
"2018-04-03","29"
"2018-04-04","48"
"2018-04-05","50"
"2018-04-06","72"
"2018-04-07","51"
"2018-04-08","40"
"2018-04-09","50"
"2018-04-10","41"
"2018-04-11","47"
"2018-04-12","25"
"2018-04-13","44"
"2018-04-14","0"
"2018-04-15","49"
"2018-04-16","37"
"2018-04-17","31"
"2018-04-18","25"
"2018-04-19","33"
"2018-04-20","34"
"2018-04-21","39"
"2018-04-22","50"
"2018-04-23","39"
"2018-04-24","27"
"2018-04-26","63"
"2018-04-27","47"
"2018-04-28","37"
"2018-04-29","75"
"2018-04-30","66"
"2018-05-01","48"
"2018-05-02","62"
"2018-05-03","68"
"2018-05-04","76"
"2018-05-05","73"
"2018-05-06","52"
"2018-05-07","58"
"2018-05-08","44"
"2018-05-09","98"
"2018-05-10","78"
"2018-05-11","63"
"2018-05-12","65"
"2018-05-13","72"
"2018-05-14","58"
"2018-05-15","69"
"2018-05-16","98"
"2018-05-17","54"
"2018-05-18","83"
"2018-05-19","74"
"2018-05-20","73"
"2018-05-21","98"
"2018-05-22","88"
"2018-05-23","67"
"2018-05-24","100"
"2018-05-25","66"
"2018-05-26","127"
"2018-05-27","97"
"2018-05-28","100"
"2018-05-29","45"
"2018-05-30","93"
"2018-05-31","77"
"2018-06-01","81"
"2018-06-02","98"
"2018-06-03","72"
"2018-06-04","48"
"2018-06-05","90"
"2018-06-06","69"
"2018-06-07","88"
"2018-06-08","82"
"2018-06-09","91"
"2018-06-10","73"
"2018-06-11","98"
"2018-06-12","73"
"2018-06-13","118"
"2018-06-14","122"
"2018-06-15","114"
"2018-06-16","127"
"2018-06-17","100"
"2018-06-18","135"
"2018-06-19","98"
"2018-06-20","78"
"2018-06-21","121"
"2018-06-22","89"
"2018-06-23","100"
"2018-06-24","122"
"2018-06-25","128"
"2018-06-26","98"
"2018-06-27","123"
"2018-06-28","117"
"2018-06-29","75"
"2018-06-30","117"
"2018-07-01","84"
"2018-07-02","99"
"2018-07-03","90"
"2018-07-04","122"
"2018-07-05","123"
"2018-07-06","143"
"2018-07-07","149"
"2018-07-08","75"
"2018-07-09","118"
"2018-07-10","93"
"2018-07-11","118"
"2018-07-12","148"
"2018-07-13","84"
"2018-07-14","99"
"2018-07-15","49"
"2018-07-16","145"
"2018-07-17","76"
"2018-07-18","92"
"2018-07-19","90"
"2018-07-20","69"
"2018-07-21","83"
"2018-07-22","87"
"2018-07-23","97"
"2018-07-24","88"
"2018-07-25","48"
"2018-07-26","80"
"2018-07-27","95"
"2018-07-28","72"
