ds,y
7/10/2017,48
7/11/2017,144
7/12/2017,34
7/13/2017,141
7/14/2017,95
7/15/2017,48
7/17/2017,50
7/17/2017,6
7/18/2017,141
7/19/2017,42
7/20/2017,103
7/21/2017,92
7/22/2017,73
7/24/2017,109
7/25/2017,157
7/26/2017,40
7/27/2017,108
7/27/2017,21
7/28/2017,93
7/29/2017,86
7/31/2017,73
8/1/2017,93
8/3/2017,77
8/4/2017,102
8/5/2017,84
8/7/2017,115
8/8/2017,107
8/10/2017,104
8/11/2017,46
8/12/2017,60
8/14/2017,121
8/17/2017,98
8/18/2017,70
8/19/2017,58
8/21/2017,85
8/22/2017,77
8/24/2017,107
8/25/2017,46
8/26/2017,79
8/28/2017,82
8/29/2017,94
8/31/2017,119
9/1/2017,63
9/2/2017,91
9/4/2017,116
9/5/2017,119
9/7/2017,151
9/8/2017,76
9/9/2017,107
9/11/2017,119
9/12/2017,151
9/14/2017,122
9/15/2017,133
9/16/2017,126
9/18/2017,155
9/18/2017,26
9/19/2017,174
9/21/2017,152
9/22/2017,114
9/23/2017,102
9/25/2017,156
9/26/2017,155
9/28/2017,157
9/29/2017,113
9/30/2017,102
10/2/2017,99
10/3/2017,168
10/5/2017,147
10/6/2017,121
10/7/2017,87
10/9/2017,132
10/10/2017,133
10/12/2017,120
10/13/2017,119
10/14/2017,115
10/16/2017,100
10/17/2017,81
10/19/2017,94
10/20/2017,69
10/21/2017,76
10/23/2017,103
10/24/2017,78
10/26/2017,104
10/27/2017,58
10/28/2017,37
10/30/2017,58
10/31/2017,43
11/3/2017,0
11/4/2017,65
11/6/2017,57
11/7/2017,44
11/9/2017,47
11/10/2017,35
11/11/2017,57
11/13/2017,66
11/14/2017,33
11/16/2017,34
11/17/2017,9
11/18/2017,23
11/20/2017,70
11/21/2017,62
11/23/2017,55
11/24/2017,63
11/25/2017,32
11/27/2017,28
11/28/2017,24
11/30/2017,8
12/1/2017,19
12/2/2017,9
12/4/2017,10
12/5/2017,12
12/7/2017,18
12/9/2017,26
12/11/2017,26
12/12/2017,18
12/14/2017,11
12/15/2017,6
12/16/2017,21
12/18/2017,41
12/19/2017,0
12/21/2017,49
12/22/2017,52
12/23/2017,66
12/28/2017,129
12/29/2017,86
12/30/2017,60
1/2/2018,47
